knot name,braid rep,min cell count from kht++,greedy matching cell count,lex matching cell count,total cell count of delooped complex
11a_194,{-1;-1;-1;2;-1;-1;-1;2;-3;2;-3},246,248,248,11402
11a_195,{-1;-1;-2;1;-2;-3;2;4;-3;4;-5;4;-5},1236,1238,2174,23938
11a_196,{-1;-1;2;-1;2;-1;-1;2;-3;2;-3},396,398,398,7182
11a_197,{1;1;1;2;-1;-3;-2;-2;4;3;-2;3;4;4},756,986,1928,92594
11a_198,{1;1;-2;1;-2;-3;2;2;4;-3;-2;4;4;-3},740,1052,2216,87818
11a_199,{-1;-1;-1;2;-1;2;-3;2;2;4;-3;-2;4;-3},750,956,1980,94436
11a_200,{1;1;1;2;-1;2;2;3;-2;-2;4;-3;2;4;4;3},1124,1494,3800,715202
11a_201,{1;1;-5;4;-5;-4;3;-2;3;-4;-1;-2;3;1;-2},1432,2074,7182,117060
11a_202,{1;1;1;1;-2;1;3;-2;-1;-4;3;-2;3;-4},762,964,2036,91128
11a_203,{1;1;1;1;1;-2;1;3;-2;3;3},170,172,172,15226
11a_204,{1;1;2;-1;2;2;-3;2;4;-3;4;4},534,536,718,17044
11a_205,{-1;-1;-1;2;-1;2;2;3;-2;-4;3;-4},524,526,652,18352
11a_206,{-1;-1;-1;-1;-1;-1;2;-1;-3;2;-3},138,140,140,17146
11a_207,{-1;-1;-2;1;-2;-2;-2;3;-2;-4;3;-4},470,472,638,18676
11a_208,{-1;-1;-1;-1;-2;1;-2;3;-2;-4;3;-4},498,500,590,19636
11a_209,{-1;-1;-5;4;-5;-3;4;-2;-3;4;1;2;-3;1;2},1690,2436,7932,105804
11a_210,{-1;-1;-2;1;3;-2;3;3;4;-3;-5;4;-5},1200,1202,1918,27554
11a_211,{-1;-1;-2;1;-2;-3;2;-3;4;-3;-5;4;-5},1190,1192,2168,23878
11a_212,{1;1;1;2;-1;3;2;2;-4;3;3;-2;3;-4},776,1090,2046,84092
11a_213,{1;1;1;2;-1;3;2;2;2;-4;3;-2;3;-4},654,948,1728,101060
11a_214,{1;1;2;-1;2;-3;2;4;-3;-2;-5;4;-3;4;-5},2234,2852,7556,108096
11a_215,{1;1;-2;1;1;3;-2;1;-2;3;3},374,376,376,8298
11a_216,{1;1;3;3;-2;-2;1;-2;3;1;-2},386,388,388,7578
11a_217,{-1;-1;-3;2;2;-1;-1;2;-3;-1;2},404,406,406,7086
11a_218,{-1;2;-1;-3;-2;-2;4;3;-2;3;-5;4;-5},1726,1818,2648,20034
11a_219,{-1;-1;-2;1;-2;-3;2;2;4;-3;-2;-5;4;-3;-5},1346,1756,5772,137904
11a_220,{1;1;1;-2;1;3;-2;3;4;-3;4;4},474,476,686,17716
11a_221,{-1;-1;-1;-1;2;-1;-3;2;2;2;-3},208,210,210,12694
11a_222,{-1;-1;-2;1;-2;3;-2;-4;3;3;3;-4},580,582,768,15400
11a_223,{1;1;1;-2;1;1;1;3;-2;3;3},216,218,218,13534
11a_224,{1;1;1;1;2;-1;-3;2;4;-3;4;4},466,468,542,21588
11a_225,{-1;-1;-1;-1;2;-1;2;3;-2;-4;3;-4},434,436,590,19636
11a_226,{-1;-1;-2;1;-2;3;-2;3;4;-3;-5;4;-5},1206,1208,2168,23878
11a_227,{1;1;1;2;2;-3;2;-1;2;3;3;2;2},442,500,824,49328
11a_228,{-1;2;-1;-3;-2;4;3;-2;3;3;-5;4;-5},1520,1710,2654,20094
11a_229,{1;1;1;2;-1;-3;2;4;-3;4;5;-4;5},1070,1072,1812,28350
11a_230,{1;1;2;-1;2;3;-2;-4;3;5;-4;5;5},1126,1128,1976,26118
11a_231,{1;1;-2;-2;-2;1;3;-2;-2;-2;3},274,276,276,9898
11a_232,{1;1;-2;3;-2;-2;1;-2;3;-2;-2},390,392,392,8042
11a_233,{1;1;3;-2;3;-2;1;-2;3;-2;-2},434,436,436,7106
11a_234,{1;1;1;1;1;1;1;1;2;-1;2;2},58,60,66,95144
11a_235,{1;1;1;2;-1;2;2;2;2;2;3;-2;3},214,216,308,111122
11a_236,{1;1;1;1;2;-1;2;2;2;3;-2;3;3},258,260,376,97466
11a_237,{1;1;1;2;-1;2;2;2;3;-2;-2;4;-3;2;4;3},946,1160,3276,789644
11a_238,{1;1;1;2;-1;2;2;2;3;-2;3;4;-3;4},614,616,1268,128624
11a_239,{1;1;-2;3;-2;1;3;-2;3;-2;3},530,532,532,5794
11a_240,{1;1;1;1;1;1;2;2;-1;2;2;2},92,94,102,75176
