knot name,braid rep,min cell count from kht++,greedy matching cell count,lex matching cell count,total cell count of delooped complex,mgr acyclic
12a_1148,{1;-2;3;-4;1;3;3;3;-4;2;-4;-4;-3;2},1578,1602,2002,84060,yes
12a_1149,{1;-2;3;-4;-5;1;3;-5;2;-5;4;-5;4;-3;2},4690,4906,6354,121404,yes
12a_1150,{1;-4;3;-4;2;-3;2;2;2;-3;-3;1;-3;-2},1160,1244,1960,83696,yes
12a_1151,{1;-2;-3;1;-3;-3;-2;3;-2;4;5;-3;-4;5;4},1820,2004,5776,128440,yes
12a_1152,{-1;-3;4;2;-3;2;-1;-3;2;4;-3;2},1568,1568,1568,8772,yes
12a_1153,{-1;-4;3;2;2;2;2;-4;2;3;-2;-1;3;2},824,900,1456,108848,yes
12a_1154,{1;-2;1;2;-5;4;-3;4;5;-4;2;-3;2;-3;-4;3;2},4544,5256,24020,541440,yes
12a_1155,{-1;-2;3;3;-4;-2;3;1;1;-2;3;4;4;3;2;2},2832,3312,8520,316496,yes
12a_1156,{-1;2;3;-1;2;2;2;3;-4;3;-2;3;3;-4},1234,1786,2478,71790,yes
12a_1157,{-1;2;3;-1;3;3;3;3;3;3;-2;3;-2},270,274,286,108300,yes
12a_1158,{-1;2;2;2;-3;-4;2;3;-4;-3;2;1;1;2},892,912,2600,69680,yes
12a_1159,{-1;2;-3;-4;2;3;-4;-3;2;1;1;2;2;2},836,1040,2616,68576,yes
12a_1160,{1;1;2;-1;2;2;3;-2;-2;-4;3;2;-4;-5;4;3;-5},1996,2612,12216,964036,yes
12a_1161,{-1;-2;3;-4;5;3;5;4;-5;4;3;-2;-1;2;3},2330,2764,8864,92418,yes
12a_1162,{1;-2;-3;-4;1;3;-4;2;2;2;2;2;-3;2},648,812,1412,117000,yes
12a_1163,{-1;-2;3;4;5;5;4;-5;4;-3;4;-2;-1;2;3},1160,2336,8544,93608,yes
12a_1164,{-1;2;3;4;-1;4;4;-3;4;-2;4;4;3;-2},1042,1142,1818,98964,yes
12a_1165,{1;-2;3;-4;-5;1;3;3;3;4;-5;-4;2;-3;2},2696,2744,6436,121368,yes
12a_1166,{1;-2;3;-4;-5;-6;1;3;5;-6;2;4;-5;4;-3;2},7884,8972,21940,156888,yes
12a_1167,{-1;4;3;3;-2;3;-2;3;-2;-2;-1;4;-3;2},1602,1868,2950,60606,yes
12a_1168,{1;-2;1;1;-2;-2;-2;1;1;-2;-2;-2},274,274,274,30936,yes
12a_1169,{-1;-2;3;3;-2;-2;-2;3;-2;3;-1;3;2},624,684,944,40440,yes
12a_1170,{-1;2;-1;-2;3;-2;3;3;-2;-2;-2;3;3},608,608,832,44328,yes
12a_1171,{-1;2;-1;-2;3;-2;3;-4;-3;4;-3;-2;3;4;3;3},858,1142,8606,326116,yes
12a_1172,{1;1;-2;1;1;-2;-2;3;-2;1;-2;-3;-3},804,804,948,44650,yes
12a_1173,{1;2;-3;2;3;3;-4;-5;3;-4;2;1;-2;3;-4;5;-4},4026,6478,24838,491818,yes
12a_1174,{1;-2;1;2;-3;2;2;-3;2;2;-3;-3;-3},554,554,746,53076,yes
12a_1175,{-1;2;2;3;-1;3;-1;2;-1;2;-3;2;2},696,774,1030,40812,yes
12a_1176,{1;-2;1;1;-2;-2;-2;-2;-2;1;1;-2},230,230,230,35016,yes
12a_1177,{-1;2;-1;-2;-2;3;3;-2;3;-2;3;3;-2},740,740,940,40928,yes
12a_1178,{1;1;-2;-2;-2;3;1;1;-2;1;-2;-3;-3},716,716,844,46218,yes
12a_1179,{-1;2;-3;4;-1;4;-3;4;-3;-2;4;4;3;-2},2192,2232,2904,61968,yes
12a_1180,{1;-2;1;2;-3;2;2;-3;-3;-3;2;2;-3},638,638,862,43236,yes
12a_1181,{1;-2;1;2;-3;-4;2;2;3;-4;-3;2;2;-3},930,1070,2850,65796,yes
12a_1182,{-1;-1;-1;2;2;3;3;2;-1;2;-3;2;2},480,558,830,49484,yes
12a_1183,{-1;2;2;3;-4;-3;2;2;1;1;2;-3;2;-4},832,940,3124,59804,yes
12a_1184,{-1;3;3;2;2;2;2;-1;2;-3;2;-1;2},684,684,798,51614,yes
12a_1185,{1;-2;-3;4;1;-3;4;2;2;3;-4;3;-2;-3;2;4},1748,1908,9768,301392,yes
12a_1186,{-1;2;2;3;3;2;2;-1;2;-3;2;-1;2},804,996,1314,33518,yes
12a_1187,{1;-2;1;-2;3;-2;1;-2;-2;-3;1;-3;-2},926,958,1446,30156,yes
12a_1188,{1;2;-3;4;-3;4;-2;1;-2;1;-3;-2;4;-3},1920,2080,4756,43088,yes
12a_1189,{-1;4;4;2;-3;2;1;3;1;3;-4;-2;3;-2;3;-2},3762,3964,7808,335820,yes
12a_1190,{-1;2;3;-4;-1;2;2;3;-4;3;-2;3;-4;3},1832,2304,3624,53168,yes
12a_1191,{1;-2;-2;1;-2;1;-2;1;-2;-2;-2;-2},280,280,280,31876,yes
12a_1192,{1;-2;1;-2;3;-2;-3;1;-3;-2;-2;1;-2},654,838,1374,31660,yes
12a_1193,{1;-2;1;-2;1;-2;3;-2;1;-2;-3;-3;-2},876,876,1540,28448,yes
12a_1194,{1;-2;1;2;-3;-3;2;-3;2;-3;2;-3;-3},748,748,1052,37816,yes
12a_1195,{1;-2;-3;1;2;2;-3;2;-3;-4;2;2;3;-4},1652,2032,2716,64232,yes
12a_1196,{-1;2;3;-1;3;2;-1;2;-3;-1;2;-1;2},900,1092,1536,31048,yes
12a_1197,{-1;-1;-1;2;3;3;2;-1;2;-3;2;-1;2},626,784,1148,38498,yes
12a_1198,{-1;3;-4;3;-2;3;4;4;3;-2;3;-2;-1;2},1348,1572,3704,51600,yes
12a_1199,{1;-2;-2;1;-2;1;1;1;-2;1;-2;-2},348,348,348,25300,yes
12a_1200,{1;-2;-3;1;2;-3;-3;2;-3;-3;2;-3;2},878,946,1142,35804,yes
12a_1201,{-1;2;-1;-1;-1;2;-3;2;-1;2;2;3;3},834,834,930,45118,yes
12a_1202,{-1;2;-1;2;-3;-2;4;-3;-2;5;4;-3;4;-5;6;-5;4;6},11008,15804,56224,911496,yes
12a_1203,{1;-2;-2;-2;1;1;-2;1;1;-2;-2;-2},270,270,270,31080,yes
12a_1204,{-1;2;-1;-2;3;-2;-2;-2;3;3;-2;3;3},564,564,756,52824,yes
12a_1205,{-1;2;-1;-2;3;-2;3;-4;2;3;-4;-2;3;-2;3;3},1734,2486,8218,333052,yes
12a_1206,{-1;2;2;3;-4;3;2;-4;2;1;1;2;-3;4;2;-3},2214,3184,8936,320000,yes
12a_1207,{-1;2;-1;2;2;2;-3;2;-1;2;3;3;2},590,590,1034,41534,yes
12a_1208,{-1;-2;3;-2;3;-2;3;4;1;-3;1;4;3;2;-3;2},2736,3080,9528,295172,yes
12a_1209,{-1;-1;-1;2;2;2;-1;2;-1;2;-1;2},324,324,324,27340,yes
12a_1210,{1;-2;1;-2;-2;-2;1;-2;1;-2;-2;-2},296,296,296,31516,yes
12a_1211,{-1;2;-1;-1;2;2;-1;2;-1;2;-1;2},502,502,502,18344,yes
12a_1212,{1;-2;1;-2;1;-2;1;-2;1;1;1;-2},452,452,452,20348,yes
12a_1213,{1;-2;-3;1;2;-3;2;-3;2;-3;2;-3;2},1096,1228,1448,28320,yes
12a_1214,{1;1;1;1;1;-2;1;1;1;1;1;-2},88,88,88,88940,yes
12a_1215,{1;1;1;-2;1;-2;-2;1;1;1;1;-2},224,224,224,37548,yes
12a_1216,{-1;-1;-1;2;-1;2;-1;-3;2;-1;2;3;3},804,804,948,45274,yes
12a_1217,{-1;2;-1;-2;3;-2;3;4;-2;4;3;-2;3;-4},1608,1792,3240,57904,yes
12a_1218,{-1;2;-1;-1;-1;-1;2;2;2;2;-1;2},204,204,204,42420,yes
12a_1219,{1;1;1;-2;1;-2;-2;1;-2;-2;-2;-2},182,182,182,48936,yes
12a_1220,{1;-2;1;-2;-2;-2;-2;1;-2;-2;-2;-2},162,162,162,54744,yes
